Rank,Company Name,Number of Employees,Change in Rank,Revenues ($millions),Revenue Change,Profits ($millions),Profit Change,Assets ($millions),Market Value As of 3/29/19 ($m),Year
28,Boeing,"153,000",-1,"$101,127.00",8.30%,"$10,460.00",27.60%,"$117,359.00","$215,305.00",2019
29,Wells Fargo,"258,700",-3,"$101,060.00",3.40%,"$22,393.00",0.90%,"$1,895,883.00","$219,467.00",2019
30,Citigroup,"204,000",2,"$97,120.00",10.40%,"$18,045.00",-,"$1,917,383.00","$145,625.00",2019
31,Marathon Petroleum,"60,350",10,"$97,102.00",43.60%,"$2,780.00",-19.00%,"$92,940.00","$40,258.00",2019
32,Comcast,"184,000",1,"$94,507.00",11.80%,"$11,731.00",-48.40%,"$251,684.00","$180,948.00",2019
33,Anthem,"63,900",-4,"$92,105.00",2.30%,"$3,750.00",-2.40%,"$71,571.00","$73,827.00",2019
34,Dell Technologies,"157,000",1,"$90,621.00",15.20%,"-$2,310.00",-,"$111,820.00","$42,171.00",2019
35,DuPont de Nemours,"98,000",12,"$85,977.00",37.20%,"$3,844.00",163.30%,"$188,030.00","$120,201.00",2019
36,State Farm Insurance,"56,788",-,"$81,732.00",4.30%,"$8,788.40",298.30%,"$272,518.00",-,2019
37,Johnson & Johnson,"135,100",-,"$81,581.00",6.70%,"$15,297.00",1076.70%,"$152,954.00","$372,229.00",2019
38,IBM,"381,100",-4,"$79,591.00",0.60%,"$8,728.00",51.70%,"$123,382.00","$125,560.00",2019
39,Target,"360,000",-,"$75,356.00",4.80%,"$2,937.00",0.10%,"$41,290.00","$41,441.00",2019
40,Freddie Mac,"6,621",-2,"$73,598.00",-1.40%,"$9,235.00",64.20%,"$2,063,060.00","$1,749.00",2019
41,United Parcel Service,"364,575",3,"$71,861.00",9.10%,"$4,791.00",-2.40%,"$50,016.00","$96,116.00",2019
42,Lowe's,"245,000",-2,"$71,309.00",3.90%,"$2,314.00",-32.90%,"$34,508.00","$87,686.00",2019
43,Intel,"107,400",3,"$70,848.00",12.90%,"$21,053.00",119.30%,"$127,963.00","$241,489.00",2019
44,MetLife,"48,000",-1,"$67,941.00",2.70%,"$5,123.00",27.80%,"$687,538.00","$40,751.00",2019
45,Procter & Gamble,"92,000",-3,"$66,832.00",0.90%,"$9,750.00",-36.40%,"$118,310.00","$260,289.00",2019
46,United Technologies,"240,200",5,"$66,501.00",11.10%,"$5,269.00",15.80%,"$134,211.00","$111,146.00",2019
47,FedEx,"359,000",3,"$65,450.00",8.50%,"$4,572.00",52.60%,"$52,330.00","$47,271.00",2019
48,PepsiCo,"267,000",-3,"$64,661.00",1.80%,"$12,515.00",157.70%,"$77,648.00","$172,095.00",2019
49,Archer Daniels Midland,"31,600",-1,"$64,341.00",5.80%,"$1,810.00",13.50%,"$40,833.00","$24,157.00",2019
50,Prudential Financial,"50,492",2,"$62,992.00",5.50%,"$4,074.00",-48.20%,"$815,078.00","$37,518.00",2019
51,Centene,"47,300",10,"$60,116.00",23.80%,$900.00,8.70%,"$30,901.00","$21,940.00",2019
52,Albertsons,"275,000",1,"$59,925.00",0.40%,$46.30,-,"$21,812.00",-,2019
53,Walt Disney,"201,000",2,"$59,434.00",7.80%,"$12,598.00",40.30%,"$98,598.00","$199,590.00",2019
54,Sysco,"67,000",-,"$58,727.00",6.10%,"$1,430.80",25.20%,"$18,070.00","$34,279.00",2019
55,HP,"55,000",3,"$58,472.00",12.30%,"$5,327.00",110.90%,"$34,622.00","$29,796.00",2019
56,Humana,"41,600",-,"$56,912.00",5.80%,"$1,683.00",-31.30%,"$25,413.00","$36,080.00",2019
57,Facebook,"35,587",19,"$55,838.00",37.40%,"$22,112.00",38.80%,"$97,334.00","$475,732.00",2019
58,Caterpillar,"104,000",7,"$54,722.00",20.40%,"$6,147.00",715.30%,"$78,509.00","$77,980.00",2019
59,Energy Transfer,"11,768",5,"$54,436.00",14.60%,"$1,694.00",77.60%,"$88,246.00","$40,260.00",2019
60,Lockheed Martin,"105,000",-1,"$53,762.00",5.30%,"$5,046.00",152.00%,"$44,876.00","$84,888.00",2019
61,Pfizer,"92,400",-4,"$53,647.00",2.10%,"$11,153.00",-47.70%,"$159,422.00","$235,785.00",2019
62,Goldman Sachs Group,"36,600",8,"$52,528.00",24.30%,"$10,459.00",144.00%,"$931,796.00","$70,415.00",2019
63,Morgan Stanley,"60,348",4,"$50,193.00",15.00%,"$8,748.00",43.20%,"$853,531.00","$72,111.00",2019
64,Cisco Systems,"74,200",-2,"$49,330.00",2.80%,$110.00,-98.90%,"$108,784.00","$237,666.00",2019
65,Cigna,"73,800",8,"$48,650.00",16.90%,"$2,637.00",17.90%,"$153,226.00","$61,059.00",2019
66,AIG,"49,600",-6,"$47,389.00",-4.30%,-$6.00,-,"$491,984.00","$37,440.00",2019
67,HCA Healthcare,"229,000",-4,"$46,677.00",-2.00%,"$3,787.00",70.90%,"$39,207.00","$44,787.00",2019
68,American Airlines Group,"128,900",3,"$44,541.00",5.50%,"$1,412.00",-26.40%,"$60,580.00","$14,262.00",2019
69,Delta Air Lines,"88,680",6,"$44,438.00",7.70%,"$3,935.00",10.00%,"$60,266.00","$35,068.00",2019
70,Charter Communications,"98,000",4,"$43,634.00",4.90%,"$1,230.00",-87.60%,"$146,130.00","$85,923.00",2019
71,New York Life Insurance,"11,388",-2,"$43,425.00",2.70%,$880.00,-52.90%,"$311,449.00",-,2019
72,American Express,"59,000",14,"$43,281.00",21.60%,"$6,921.00",153.00%,"$188,602.00","$91,675.00",2019
73,Nationwide,"30,472",-7,"$43,270.00",-1.50%,$512.60,107.90%,"$214,142.00",-,2019
74,Best Buy,"125,000",-2,"$42,879.00",1.70%,"$1,464.00",46.40%,"$12,901.00","$19,030.00",2019
75,Liberty Mutual Insurance Group,"50,000",-7,"$42,685.00",0.00%,"$2,160.00",12605.90%,"$125,989.00",-,2019
76,Merck,"69,000",2,"$42,294.00",5.40%,"$6,220.00",159.80%,"$82,637.00","$214,680.00",2019
77,Honeywell International,"114,000",-,"$41,802.00",3.10%,"$6,765.00",308.80%,"$57,773.00","$115,753.00",2019
78,United Continental Holdings,"92,000",3,"$41,303.00",9.50%,"$2,129.00",-0.10%,"$44,792.00","$21,280.00",2019
79,TIAA,"17,643",5,"$41,052.00",14.00%,"$1,560.50",48.70%,"$568,190.00",-,2019
80,Tyson Foods,"121,000",-,"$40,052.00",4.70%,"$3,024.00",70.50%,"$29,109.00","$25,361.00",2019
81,Oracle,"137,000",1,"$39,831.00",5.60%,"$3,825.00",-59.00%,"$137,264.00","$183,562.00",2019
82,Allstate,"45,420",-3,"$39,815.00",3.40%,"$2,252.00",-29.40%,"$112,249.00","$31,264.00",2019
83,World Fuel Services,"5,000",8,"$39,750.00",18.00%,$127.70,-,"$5,677.00","$1,941.00",2019
84,Massachusetts Mutual Life Insurance,"9,844",9,"$39,267.00",17.20%,$397.90,-22.40%,"$265,813.00",-,2019
85,TJX,"270,000",-,"$38,973.00",8.70%,"$3,059.80",17.30%,"$14,326.00","$65,616.00",2019
86,ConocoPhillips,"10,800",9,"$38,727.00",18.90%,"$6,257.00",-,"$69,980.00","$75,710.00",2019
87,Deere,"74,413",15,"$37,358.00",25.60%,"$2,368.40",9.70%,"$70,108.00","$50,908.00",2019
88,Tech Data,"14,000",-5,"$37,239.00",1.30%,$340.60,192.00%,"$12,987.00","$3,779.00",2019
89,Enterprise Products Partners,"7,000",16,"$36,534.00",24.90%,"$4,172.40",49.10%,"$56,970.00","$63,580.00",2019
90,Nike,"73,100",-1,"$36,397.00",6.00%,"$1,933.00",-54.40%,"$22,536.00","$132,530.00",2019
91,Publix Super Markets,"202,000",-3,"$36,396.00",4.50%,"$2,381.20",3.90%,"$18,983.00",-,2019
92,General Dynamics,"105,600",7,"$36,193.00",16.90%,"$3,345.00",14.90%,"$45,408.00","$48,883.00",2019
93,Exelon,"33,383",-1,"$35,985.00",7.30%,"$2,010.00",-46.70%,"$119,666.00","$48,624.00",2019
94,Plains GP Holdings,"4,900",21,"$34,055.00",29.90%,$334.00,-,"$26,830.00","$3,974.00",2019
95,3M,"93,516",2,"$32,765.00",3.50%,"$5,349.00",10.10%,"$36,500.00","$119,660.00",2019
96,AbbVie,"30,000",14,"$32,753.00",16.10%,"$5,687.00",7.10%,"$59,352.00","$119,125.00",2019
97,CHS,"10,495",-1,"$32,683.00",2.00%,$775.90,983.80%,"$16,381.00",-,2019
98,Capital One Financial,"47,600",3,"$32,377.00",7.90%,"$6,015.00",203.50%,"$372,538.00","$38,341.00",2019
99,Progressive,"37,346",13,"$31,979.00",19.20%,"$2,615.30",64.30%,"$46,575.00","$42,100.00",2019
100,Coca-Cola,"62,600",-13,"$31,856.00",-10.00%,"$6,434.00",415.50%,"$83,216.00","$200,334.00",2019
101,USAA,"33,689",-1,"$31,368.00",4.50%,"$2,291.90",-5.40%,"$158,507.00",-,2019
102,Hewlett Packard Enterprise,"60,000",5,"$30,852.00",6.90%,"$1,908.00",454.70%,"$55,493.00","$21,145.00",2019
103,Abbott Laboratories,"103,000",8,"$30,578.00",11.60%,"$2,368.00",396.40%,"$67,173.00","$140,412.00",2019
104,Twenty-First Century Fox,"22,400",5,"$30,400.00",6.70%,"$4,464.00",51.20%,"$53,831.00",-,2019
105,Micron Technology,"36,000",45,"$30,391.00",49.50%,"$14,135.00",177.80%,"$43,376.00","$45,739.00",2019
106,Travelers,"30,400",-,"$30,282.00",4.80%,"$2,523.00",22.70%,"$104,233.00","$36,127.00",2019
107,Rite Aid,"48,410",-13,"$30,215.00",-8.00%,$943.50,23178.30%,"$8,989.00",$686.00,2019
108,Northrop Grumman,"85,000",10,"$30,095.00",16.60%,"$3,229.00",60.20%,"$37,653.00","$45,821.00",2019
109,Arrow Electronics,"20,100",4,"$29,677.00",10.70%,$716.20,78.20%,"$17,784.00","$6,564.00",2019
110,Philip Morris International,"77,400",-2,"$29,625.00",3.10%,"$7,911.00",31.10%,"$39,801.00","$137,517.00",2019
111,Northwestern Mutual,"5,870",-7,"$29,124.00",-0.70%,$783.00,-23.00%,"$272,167.00",-,2019
112,INTL FCStone,"1,701",-9,"$27,623.00",-6.10%,$55.50,767.20%,"$7,825.00",$740.00,2019
113,PBF Energy,"3,266",22,"$27,186.00",24.80%,$128.30,-69.10%,"$8,005.00","$3,732.00",2019
114,Raytheon,"67,000",5,"$27,058.00",6.70%,"$2,909.00",43.70%,"$31,864.00","$51,390.00",2019
115,Kraft Heinz,"39,000",-1,"$26,259.00",0.10%,"-$10,229.00",-193.00%,"$103,627.00","$39,815.00",2019
116,Mondelez International,"80,000",1,"$25,938.00",0.20%,"$3,381.00",15.70%,"$62,729.00","$72,172.00",2019
117,U.S. Bancorp,"75,772",5,"$25,775.00",7.40%,"$7,096.00",14.10%,"$467,374.00","$77,117.00",2019
118,Macy's,"130,000",2,"$25,739.00",3.60%,"$1,108.00",-28.40%,"$19,194.00","$7,388.00",2019
119,Dollar General,"135,000",4,"$25,625.00",9.20%,"$1,589.50",3.30%,"$13,204.00","$30,961.00",2019
120,Nucor,"26,300",31,"$25,067.00",23.80%,"$2,360.80",79.00%,"$17,921.00","$17,784.00",2019
121,Starbucks,"291,000",11,"$24,720.00",10.40%,"$4,518.30",56.60%,"$24,156.00","$92,449.00",2019
122,DXC Technology,"150,000",252,"$24,556.00",222.80%,"$1,751.00",-,"$33,921.00","$17,253.00",2019
123,Eli Lilly,"38,680",6,"$24,556.00",7.40%,"$3,232.00",-,"$43,908.00","$134,356.00",2019
124,Thermo Fisher Scientific,"69,200",20,"$24,358.00",16.40%,"$2,938.00",32.00%,"$56,232.00","$109,215.00",2019
125,US Foods Holding,"24,900",-4,"$24,175.00",0.10%,$407.00,-8.40%,"$9,186.00","$7,598.00",2019
126,Duke Energy,"30,083",-1,"$24,116.00",4.00%,"$2,666.00",-12.80%,"$145,392.00","$65,488.00",2019
127,Halliburton,"60,000",19,"$23,995.00",16.40%,"$1,656.00",-,"$25,982.00","$25,566.00",2019
128,Cummins,"62,610",21,"$23,771.00",16.40%,"$2,141.00",114.30%,"$19,062.00","$24,839.00",2019
129,Amgen,"21,500",1,"$23,747.00",3.90%,"$8,394.00",324.20%,"$66,416.00","$118,220.00",2019
130,Paccar,"28,000",25,"$23,496.00",20.80%,"$2,195.10",31.00%,"$25,482.00","$23,630.00",2019
131,Southern,"30,286",-5,"$23,495.00",2.00%,"$2,226.00",164.40%,"$116,914.00","$53,466.00",2019
132,CenturyLink,"45,000",34,"$23,443.00",32.80%,"-$1,733.00",-224.80%,"$70,256.00","$12,947.00",2019
133,International Paper,"53,000",-9,"$23,306.00",0.00%,"$2,012.00",-6.20%,"$33,576.00","$18,519.00",2019
134,Union Pacific,"41,967",7,"$22,832.00",7.50%,"$5,966.00",-44.30%,"$59,147.00","$120,865.00",2019
135,Dollar Tree,"119,650",-1,"$22,823.00",2.60%,"-$1,590.80",-192.80%,"$13,501.00","$25,021.00",2019
136,Penske Automotive Group,"27,000",3,"$22,785.00",6.50%,$471.00,-23.20%,"$10,905.00","$3,757.00",2019
137,Qualcomm,"35,400",-4,"$22,732.00",2.00%,"-$4,864.00",-297.20%,"$32,686.00","$69,024.00",2019
138,Bristol-Myers Squibb,"23,300",7,"$22,561.00",8.60%,"$4,920.00",388.60%,"$34,986.00","$77,895.00",2019
139,Gilead Sciences,"11,000",-23,"$22,127.00",-15.20%,"$5,455.00",17.90%,"$63,675.00","$82,881.00",2019
140,Jabil,"199,000",19,"$22,095.00",15.90%,$86.30,-33.10%,"$12,046.00","$4,114.00",2019
141,ManpowerGroup,"30,000",2,"$21,991.00",4.50%,$556.70,2.10%,"$8,520.00","$4,965.00",2019
142,Southwest Airlines,"58,803",-,"$21,965.00",3.80%,"$2,465.00",-29.30%,"$26,243.00","$28,690.00",2019
143,Aflac,"11,390",-6,"$21,758.00",0.40%,"$2,920.00",-36.60%,"$140,406.00","$37,443.00",2019
144,Tesla,"48,817",116,"$21,461.00",82.50%,-$976.10,-,"$29,740.00","$48,338.00",2019
145,AutoNation,"26,000",-7,"$21,413.00",-0.60%,$396.00,-8.90%,"$10,665.00","$3,217.00",2019
146,CBRE Group,"90,000",61,"$21,340.00",50.20%,"$1,063.20",53.80%,"$13,457.00","$16,607.00",2019
147,Lear,"169,000",1,"$21,149.00",3.30%,"$1,149.80",-12.50%,"$11,601.00","$8,470.00",2019
148,Whirlpool,"92,000",-8,"$21,037.00",-1.00%,-$183.00,-152.30%,"$18,347.00","$8,455.00",2019
149,McDonald's,"210,000",-18,"$21,025.00",-7.90%,"$5,924.30",14.10%,"$32,811.00","$145,334.00",2019
150,Broadcom,"15,000",-,"$20,848.00",18.10%,"$12,259.00",624.50%,"$50,124.00","$119,035.00",2019
151,Marriott International,"176,000",-24,"$20,758.00",-9.30%,"$1,907.00",39.00%,"$23,696.00","$42,117.00",2019
152,Western Digital,"71,600",6,"$20,647.00",8.10%,$675.00,70.00%,"$29,235.00","$13,978.00",2019
153,Visa,"17,000",8,"$20,609.00",12.30%,"$10,301.00",53.80%,"$69,225.00","$343,774.00",2019
154,Lennar,"11,626",76,"$20,572.00",62.70%,"$1,695.80",109.20%,"$28,566.00","$15,514.00",2019
155,WellCare Health Plans,"12,000",15,"$20,414.00",20.00%,$439.80,17.70%,"$11,765.00","$13,569.00",2019
156,Kohl's,"81,500",1,"$20,229.00",5.90%,$801.00,-6.80%,"$12,469.00","$11,221.00",2019
157,AECOM,"87,000",7,"$20,156.00",10.70%,$136.50,-59.80%,"$14,681.00","$4,631.00",2019
158,Synnex,"231,600",11,"$20,054.00",17.60%,$300.60,-0.20%,"$11,480.00","$4,885.00",2019
159,PNC Financial Services,"51,996",6,"$19,993.00",10.90%,"$5,301.00",-0.70%,"$382,315.00","$55,640.00",2019
160,Danaher,"71,000",2,"$19,893.00",8.50%,"$2,650.90",6.40%,"$47,833.00","$94,486.00",2019
161,Hartford Financial Services,"18,500",-5,"$19,827.00",3.10%,"$1,807.00",-,"$62,307.00","$17,873.00",2019
162,Altria Group,"8,300",-8,"$19,627.00",0.70%,"$6,963.00",-31.90%,"$55,638.00","$107,649.00",2019
163,Bank of New York Mellon,"51,300",12,"$19,214.00",15.60%,"$4,266.00",4.30%,"$362,873.00","$48,153.00",2019
164,Fluor,"53,349",-11,"$19,167.00",-1.80%,$224.80,17.50%,"$8,914.00","$5,138.00",2019
165,Avnet,"15,400",-37,"$19,037.00",-16.80%,-$156.40,-129.80%,"$9,597.00","$4,703.00",2019
166,Icahn Enterprises,"29,034",-30,"$18,979.00",-12.70%,"$1,507.00",-38.00%,"$23,396.00","$13,875.00",2019
167,Occidental Petroleum,"11,000",53,"$18,934.00",42.60%,"$4,131.00",215.10%,"$43,854.00","$49,510.00",2019
168,Molina Healthcare,"11,000",-16,"$18,890.00",-5.00%,$707.00,-,"$7,154.00","$8,891.00",2019
169,Genuine Parts,"50,000",8,"$18,735.00",14.90%,$810.50,31.40%,"$12,683.00","$16,350.00",2019
170,Freeport-McMoRan,"26,800",6,"$18,628.00",13.50%,"$2,602.00",43.20%,"$42,216.00","$18,678.00",2019
171,Kimberly-Clark,"41,000",-8,"$18,486.00",1.20%,"$1,410.00",-38.10%,"$14,518.00","$42,635.00",2019
172,Tenet Healthcare,"102,795",-25,"$18,313.00",-11.20%,$111.00,-,"$22,409.00","$2,969.00",2019
173,Synchrony Financial,"16,500",-,"$18,253.00",9.30%,"$2,790.00",44.20%,"$106,792.00","$22,645.00",2019
174,CarMax,"25,110",-,"$17,977.00",8.10%,$664.10,5.90%,"$17,486.00","$11,690.00",2019
175,HollyFrontier,"3,622",31,"$17,715.00",24.30%,"$1,098.00",36.30%,"$10,995.00","$8,414.00",2019
176,Performance Food Group,"15,000",-5,"$17,620.00",5.10%,$198.70,106.30%,"$4,001.00","$4,170.00",2019
177,Sherwin-Williams,"53,368",13,"$17,535.00",17.00%,"$1,108.70",-37.40%,"$19,134.00","$39,919.00",2019
178,Emerson Electric,"87,500",-,"$17,408.00",6.80%,"$2,203.00",45.10%,"$20,390.00","$42,083.00",2019
179,NGL Energy Partners,"2,400",44,"$17,283.00",32.70%,-$70.90,-151.70%,"$6,151.00","$1,740.00",2019
180,XPO Logistics,"100,000",6,"$17,279.00",12.30%,$422.00,24.00%,"$12,270.00","$5,868.00",2019
181,EOG Resources,"2,800",89,"$17,275.00",54.10%,"$3,419.00",32.40%,"$33,935.00","$55,210.00",2019
182,Applied Materials,"21,000",19,"$17,253.00",18.70%,"$3,313.00",-3.50%,"$17,773.00","$37,653.00",2019
183,PG&E,"24,000",-15,"$16,759.00",-2.20%,"-$6,851.00",-516.20%,"$76,995.00","$9,391.00",2019
184,NextEra Energy,"14,300",-17,"$16,727.00",-2.70%,"$6,638.00",23.40%,"$103,702.00","$92,439.00",2019
185,C.H. Robinson Worldwide,"15,262",8,"$16,631.00",11.80%,$664.50,31.60%,"$4,427.00","$11,949.00",2019
186,Gap,"135,000",-5,"$16,580.00",4.60%,"$1,003.00",18.30%,"$8,049.00","$9,912.00",2019
187,Lincoln National,"11,034",18,"$16,424.00",15.20%,"$1,641.00",-21.10%,"$298,147.00","$11,992.00",2019
188,DaVita,"77,700",-9,"$16,369.00",2.10%,$159.40,-76.00%,"$19,110.00","$9,034.00",2019
189,Jones Lang LaSalle,"90,000",167,"$16,318.00",105.70%,$484.50,90.60%,"$10,026.00","$7,034.00",2019
190,WestRock,"45,100",4,"$16,285.00",9.60%,"$1,906.10",169.10%,"$25,361.00","$9,794.00",2019
191,CDW,"9,019",-2,"$16,241.00",6.90%,$643.00,22.90%,"$7,168.00","$14,172.00",2019
192,American Electric Power,"17,582",-7,"$16,196.00",5.00%,"$1,923.80",0.60%,"$68,803.00","$41,313.00",2019
193,Cognizant Technology Solutions,"281,600",2,"$16,125.00",8.90%,"$2,101.00",39.70%,"$15,913.00","$41,666.00",2019
194,D.R. Horton,"8,437",17,"$16,068.00",14.00%,"$1,460.30",40.60%,"$14,115.00","$15,452.00",2019
195,Becton Dickinson,"76,032",56,"$15,983.00",32.20%,$311.00,-71.70%,"$53,904.00","$67,193.00",2019
196,Nordstrom,"74,000",-13,"$15,860.00",2.50%,$564.00,29.10%,"$7,886.00","$6,879.00",2019
197,Netflix,"7,100",64,"$15,794.00",35.10%,"$1,211.20",116.70%,"$25,974.00","$155,674.00",2019
198,Aramark,"227,200",2,"$15,790.00",8.10%,$567.90,51.90%,"$13,720.00","$7,278.00",2019
199,Texas Instruments,"29,888",-7,"$15,784.00",5.50%,"$5,580.00",51.50%,"$17,137.00","$99,559.00",2019
200,General Mills,"40,000",-18,"$15,740.00",0.80%,"$2,131.00",28.60%,"$30,624.00","$30,987.00",2019
201,Supervalu,"23,000",-21,"$15,679.00",-2.10%,$45.00,-93.10%,"$4,387.00",-,2019
202,Colgate-Palmolive,"34,500",-18,"$15,544.00",0.60%,"$2,400.00",18.60%,"$12,161.00","$58,931.00",2019
203,Goodyear Tire & Rubber,"64,000",-16,"$15,475.00",0.60%,$693.00,100.30%,"$16,872.00","$4,216.00",2019
204,PayPal Holdings,"21,800",18,"$15,451.00",18.00%,"$2,057.00",14.60%,"$43,332.00","$121,826.00",2019
205,PPG Industries,"47,300",-14,"$15,374.00",2.70%,"$1,341.00",-15.70%,"$16,015.00","$26,649.00",2019
206,Omnicom Group,"70,400",-18,"$15,290.00",0.10%,"$1,326.40",21.90%,"$24,617.00","$16,327.00",2019
207,Celgene,"8,852",17,"$15,281.00",17.50%,"$4,046.00",37.60%,"$35,480.00","$66,242.00",2019
208,Jacobs Engineering Group,"77,600",89,"$14,985.00",49.50%,$163.40,-44.40%,"$12,646.00","$10,490.00",2019
209,Ross Stores,"88,100",-,"$14,984.00",6.00%,"$1,587.50",16.50%,"$6,074.00","$34,502.00",2019
210,Marsh & McLennan,"66,000",2,"$14,950.00",6.60%,"$1,650.00",10.60%,"$21,578.00","$47,660.00",2019
210,Mastercard,"14,800",26,"$14,950.00",19.60%,"$5,859.00",49.70%,"$24,860.00","$241,550.00",2019
212,Land O'Lakes,"10,000",4,"$14,936.00",8.70%,$254.50,-19.00%,"$9,124.00",-,2019
213,Waste Management,"43,700",-11,"$14,914.00",3.00%,"$1,925.00",-1.20%,"$22,650.00","$44,129.00",2019
214,Illinois Tool Works,"48,000",-10,"$14,768.00",3.20%,"$2,563.00",51.90%,"$14,870.00","$46,923.00",2019
215,Ecolab,"49,000",-,"$14,668.00",6.00%,"$1,429.10",-5.30%,"$20,075.00","$50,908.00",2019
216,Booking Holdings,"24,500",13,"$14,527.00",14.60%,"$3,998.00",70.80%,"$22,687.00","$78,543.00",2019
217,CBS,"14,750",-20,"$14,514.00",-1.30%,"$1,960.00",449.00%,"$21,859.00","$17,727.00",2019
218,Parker-Hannifin,"57,170",38,"$14,302.00",18.90%,"$1,060.80",7.90%,"$15,320.00","$22,202.00",2019
219,Principal Financial,"16,475",-9,"$14,237.00",1.00%,"$1,546.50",-33.10%,"$243,036.00","$13,969.00",2019
220,DTE Energy,"10,600",12,"$14,212.00",12.70%,"$1,120.00",-1.20%,"$36,288.00","$22,854.00",2019
221,BlackRock,"14,900",16,"$14,198.00",13.70%,"$4,305.00",-13.40%,"$159,573.00","$67,538.00",2019
222,United States Steel,"29,000",24,"$14,178.00",15.70%,"$1,115.00",188.10%,"$10,982.00","$3,379.00",2019
223,Community Health Systems,"78,500",-63,"$14,155.00",-23.40%,-$788.00,-,"$15,859.00",$434.00,2019
224,Kinder Morgan,"11,012",-6,"$14,144.00",3.20%,"$1,609.00",779.20%,"$78,866.00","$45,295.00",2019
225,Qurate Retail,"27,226",63,"$14,070.00",35.20%,$916.00,-62.50%,"$17,841.00","$6,962.00",2019
226,Loews,"17,900",-9,"$14,066.00",2.40%,$636.00,-45.40%,"$78,316.00","$14,921.00",2019
227,Arconic,"43,000",-2,"$14,014.00",8.10%,$642.00,-,"$18,693.00","$8,658.00",2019
228,Stanley Black & Decker,"60,767",-,"$13,982.00",9.70%,$605.20,-50.60%,"$19,408.00","$20,610.00",2019
229,Textron,"35,000",-21,"$13,972.00",-1.60%,"$1,222.00",298.00%,"$14,264.00","$11,847.00",2019
230,Las Vegas Sands,"51,500",-3,"$13,729.00",6.60%,"$2,413.00",-14.00%,"$22,547.00","$47,247.00",2019
